noAnggota,link_foto,link_profil,nama,fraksi,dapil,akd_clean,ttl,agama,pendidikan,pekerjaan,organisasi,kotaLahir,usia,pendidikan_terakhir,is_kader,is_dewan,usia_kategori,rank_partai,partai
16,http://www.dpr.go.id//doksigota/photo/1435.jpeg,http://www.dpr.go.id//blog/profil/id/1435,"H. ACEP ADANG RUHIAT, M.si",Fraksi Partai Kebangkitan Bangsa,JAWA BARAT XI,"['Panitia Khusus', 'Komisi X']",Tasikmalaya / 01 Agustus 1958,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , Madrasah Ibtidaiyah Cipasung. Tahun:  - 1971</li><li>SMP , SMP Islam Cipasung. Tahun:  - 1973</li><li>SMA , SMA Islam Cipasung. Tahun:  - 1976</li><li>S1 , Universitas Siliwangi. Tahun:  - 1981</li><li>S2 Ilmu Administrasi, Universitas Garut. Tahun:  - 2000</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>10. Komisi E DPRD Prov. Jawa Barat, Sebagai: Anggota. Tahun: 2011 - 2014</li><li>11. Fraksi PKB DPRD Prov. Jawa Barat, Sebagai: Ketua Pimpinan. Tahun: 2011 - 2014</li><li>6 BAZIZ Kab. Tasikmalaya, Sebagai: Penasehat. Tahun: 2010 - 2011</li><li>9. Komisi B DPRD Prov. Jawa Barat, Sebagai: Anggota. Tahun: 2009 - 2011</li><li>8. Banggar DPRD Prov. Jawa Barat, Sebagai: Anggota . Tahun: 2009 - 2014</li><li>7. DPRD Prov. Jawa Barat, Sebagai: Anggota . Tahun: 2004 - 2009</li><li>5. STIE Cipasung, Sebagai: Ketua. Tahun: 2000 - 2005</li><li>4. KADIN Kab. Tasikmalaya, Sebagai: Pengurus. Tahun: 1994 - 1996</li><li>2. MAN Cipasung, Sebagai: Satf Pengajar. Tahun: 1987 - 1992</li><li>3. Institut Agama Islam Cipasung, Sebagai: Pembina Kemahasiswaan. Tahun: 1987 - 2006</li><li>1. SMA Islam Cipasung, Sebagai: Satf Pengajar. Tahun: 1984 - 2005</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>21. Dewan Syuro DPP PKB Jawa Barat, Sebagai: Anggota. Tahun: 2019 - 2024</li><li>20. Dewan Syuro DPW PKB Jawa Barat, Sebagai: Wakil ketua. Tahun: 2018 - 2023</li><li>18. DEWAN SYURO PKB Tasikmalaya, Sebagai: Anggota. Tahun: 2015 - 2020</li><li>19. KATIB SYURIYAH PBNU, Sebagai: Anggota. Tahun: 2015 - 2020</li><li>17. DEWAN SYURO PKB Tasikmalaya, Sebagai: Ketua. Tahun: 2011 - 2016</li><li>15. MUI Kab. Tasikmalaya, Sebagai: Dewan Penasihat. Tahun: 2010 - 2015</li><li>16. BAZDA Kab. Tasikmalaya, Sebagai: Pengurus. Tahun: 2010 - 2015</li><li>13. PKB Kab. tasikmalaya, Sebagai: Ketua Dewan Tanfidz. Tahun: 2008 - 2011</li><li>14. GP Ansor Kab. Tasikmalaya, Sebagai: Wakil Ketua. Tahun: 2008 - 2012</li><li>11. PCNU Kab. tasikmalaya, Sebagai: Wakil Ketua. Tahun: 2006 - 2011</li><li>12. LTMI, PWNU Jawa Barat, Sebagai: Ketua. Tahun: 2006 - 2011</li><li>9. Majelis Pemuda Kab. Tasikmalaya, Sebagai: Anggota. Tahun: 2004 - 2007</li><li>10. GP Ansor Kab. Tasikmalaya, Sebagai: Ketua. Tahun: 2004 - 2008</li><li>8. FSPP Kab. Tasikmalaya, Sebagai: Pengurus. Tahun: 2003 - 2007</li><li>7. GP Ansor Jawa Barat , Sebagai: Wakil Ketua. Tahun: 2002 - 2006</li><li>6. GP. Ansor Kab. Tasikmalaya, Sebagai: Ketua. Tahun: 1998 - 2002</li><li>5. KNPI Kab. Tasikmalaya, Sebagai: Wakil Ketua. Tahun: 1996 - 2001</li><li>4.Pemuda Pancasila Kab. Tasikmalaya, Sebagai: Wakil Ketua. Tahun: 1995 - 1998</li><li>3. BP KNPI Kec. Singaparna Kab, Tasikmalaya, Sebagai: Ketua. Tahun: 1987 - 1994</li><li>2. PMII , Sebagai: Aktifis. Tahun: 1983 - 1986</li><li>1. Himpunan Mahasiswa Tasikmalaya, Sebagai: Pengurus. Tahun: 1982 - 1984</li> </ul>
",Tasikmalaya,62.0,5_s2,internal,dewan,"(61.0, 81.0]",5.0,PKB
17,http://www.dpr.go.id//doksigota/photo/59.jpg,http://www.dpr.go.id//blog/profil/id/59,H. ALAMUDDIN DIMYATI ROIS,Fraksi Partai Kebangkitan Bangsa,JAWA TENGAH I,"['Komisi XI', 'Panitia Khusus']",Kendal  / 26 Desember 1980,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , Madrasah Ibtidaiyah. Tahun: 1998 - 1994</li><li>SMP , Pelita Mandiri. Tahun:  - 2001</li><li>SMA IPS, Pelita Mandiri. Tahun:  - 2003</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>DPR RI, Sebagai: Anggota. Tahun: 2009 - 2014</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>2. DPW PKB Jateng, Sebagai: Sekretaris dewan Syuro. Tahun: 2012 - </li><li>1. GARDA Bangsa, Sebagai: Wakil Ketua. Tahun: 2011 - </li> </ul>
",Kendal ,40.0,2_sma,internal,dewan,"(23.0, 44.0]",5.0,PKB
18,http://www.dpr.go.id//doksigota/photo/1445.jpg,http://www.dpr.go.id//blog/profil/id/1445,Drs. FATHAN,Fraksi Partai Kebangkitan Bangsa,JAWA TENGAH II,"['Komisi XI', 'Badan Musyawarah', 'Panitia Khusus', 'Badan Kerja Sama Antar Parlemen']",Demak / 11 Februari 1970,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , MI Miftahul Falah. Tahun:  - 1982</li><li>SMP , MTs Sunan Kalijaga Bonang. Tahun:  - 1985</li><li>SMA , PGA Salatiga. Tahun:  - 1988</li><li>S1 , Universitas Islam Al-Aqidah. Tahun:  - 2001</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>DPR RI, Sebagai: Anggota DR RI. Tahun: 2014 - 2019</li><li>3. Kementerian Tenaga Kerja Dan Transmigrasi, Sebagai: Staf Khusus Menteri. Tahun: 2013 - 2014</li><li>1. PT. Aman Sinar Lestari, Sebagai: Komisaris. Tahun: 2005 - 2010</li><li>2. Induk Koperasi Syirkah Muawanah NU, Sebagai: Direktur. Tahun: 2005 - 2012</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>7. DPP PKB, Sebagai: Ketua Bidang Keuangan dan Perbankan. Tahun: 2019 - 2024</li><li>4. PW IKA PMII DKI JAKARTA, Sebagai: Ketua. Tahun: 2015 - 2019</li><li>6. DPP PKB, Sebagai: Wakil Sekjen. Tahun: 2015 - 2019</li><li>3. Pengurus Pusat Lembaga Perekonomian NU, Sebagai: Pengurus. Tahun: 2005 - 2009</li><li>5. Departemen Ekonomi dan Pemberdayaan Umat Pengurus Pusat MUI, Sebagai: Anggota. Tahun: 2005 - 2009</li><li>2. Pengurus Besar PMII, Sebagai: Ketua. Tahun: 1997 - 1998</li><li>1. PC. PMII DKI Jakarta, Sebagai: Ketua Umum. Tahun: 1995 - 1996</li> </ul>
",Demak,50.0,4_s1,internal,dewan,"(49.0, 55.0]",5.0,PKB
19,http://www.dpr.go.id//doksigota/photo/1753.jpg,http://www.dpr.go.id//blog/profil/id/1753,MARWAN JAFAR,Fraksi Partai Kebangkitan Bangsa,JAWA TENGAH III,"['Panitia Khusus', 'Komisi VI']",Pati / 12 Maret 1971,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SD DUKUHSETI 01, PATI. Tahun: 1978 - 1984</li><li>SMP , MTS MATHALI'UL FALAH . Tahun: 1984 - 1987</li><li>SMA , MA MATHALI'UL FALAH / MAN NURUL HUDA. Tahun: 1987 - 1990</li><li>S1 HUKUM, Universitas ISLAM INDONESIA. Tahun: 1991 - 1997</li><li>S2 HUKUM, Universitas MALAYA. Tahun: 2012 - 2014</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>DPR RI / MPR RI, Sebagai: ANGGOTA. Tahun: 2019 - 2024</li><li>KEMENTERIAN DESA, PDT &amp; TRANSMIGRASI, Sebagai: MENTERI. Tahun: 2014 - 2016</li><li>DPR RI / MPR RI, Sebagai: ANGGOTA. Tahun: 2009 - 2014</li><li>DPR RI / MPR RI, Sebagai: ANGGOTA. Tahun: 2004 - 2009</li><li>MARWAN-SIDABUTARY AND PARTNER, Sebagai: SENIOR PARTNER/DIREKTUR. Tahun: 2003 - 2007</li><li>PT MADU BUANA, Sebagai: DIREKTUR. Tahun: 2000 - 2004</li><li>RUSDIONO AND PARTNERS LAW FIRM, Sebagai: MAGANG. Tahun: 1999 - 2000</li><li>PT. WAHANA SARI JATI, Sebagai: DIREKTUR. Tahun: 1999 - 2004</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>MABINNAS PMII, Sebagai: ANGGOTA MAJLIS PEMBINA. Tahun: 2014 - 2016</li><li>LASKAR ASWAJA, Sebagai: KETUA DEWAN PEMBIN. Tahun: 2009 - 2014</li><li>LPNU - PBNU, Sebagai: WASEKJEN. Tahun: 1999 - 2004</li><li>INKOPSYIM - PBNU, Sebagai: WASEKJEN. Tahun: 1999 - 2004</li><li>PMII YOGYAKARTA, Sebagai: KETUA CABANG. Tahun: 1995 - 1997</li><li>LPBH NU YOGYAKARTA, Sebagai: KEPALA BIDANG LITIGASI. Tahun: 1994 - 1999</li><li>PMII UII, Sebagai: KETUA KOMISARIAT. Tahun: 1993 - 1994</li><li>LKiS YOGYAKARTA, Sebagai: WAKIL DIREKTUR. Tahun: 1993 - 2003</li><li>KETUA BIDANG KADERISASI SENAT UII, Sebagai: KETUA KADERISASI. Tahun: 1992 - 1993</li> </ul>
",Pati,49.0,5_s2,eksternal,dewan,"(44.0, 49.0]",5.0,PKB
20,http://www.dpr.go.id//doksigota/photo/1754.jpg,http://www.dpr.go.id//blog/profil/id/1754,"LULUK NUR HAMIDAH, M.Si., M.PA.",Fraksi Partai Kebangkitan Bangsa,JAWA TENGAH IV,"['Panitia Khusus', 'Badan Kerja Sama Antar Parlemen', 'Komisi IV']",Jombang / 25 Juni 1971,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , MI DARUL MA'ARIF. Tahun:  - 1984</li><li>SMP , MTSN DARUL ULUM. Tahun:  - 1987</li><li>SMA , MAN DARUL ULUM. Tahun:  - 1990</li><li>S1 PENDIDIKAN AGAMA, IAIN SUNAN AMPEL MALANG. Tahun: 1991 - </li><li>S2 ILMU SOSIOLOGI, FISIP UNIVERSITAS INDONESIA. Tahun:  - 2005</li><li>S2 PUBLIK ADMINISTRASI, LKYSPP NUS-SINGAPORE. Tahun: 2006 - 2007</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>FRAKSI PKB/MPR RI, Sebagai: Staff Ahli Fraksi. Tahun: 2009 - 2019</li><li>CADNOACIL AUSTRALIA KOR AIBEP, Sebagai: INTEGRITY OFFICER. Tahun: 2008 - 2009</li><li>Yayasan masyarakat AHIMSA, Sebagai: Direktur. Tahun: 2001 - 2010</li><li>Sekolah Citra Alam, Sebagai: Konsultan. Tahun:  - </li><li>Universitas Nasional 1946, Sebagai: Dosen. Tahun:  - </li><li>Universitas Nahdlatul Ulama, Sebagai: Dosen. Tahun:  - </li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>PP LKK PBNU, Sebagai: KETUA. Tahun: 2015 - 2020</li><li>DPP PEREMPUAN BANGSA, Sebagai: SEKJEN. Tahun: 2014 - 2019</li><li>DPP KPPI, Sebagai: KETUA. Tahun: 2012 - 2016</li><li>PP FATAYAT NU, Sebagai: KOORDINATOR LITBANG. Tahun: 2010 - 2015</li><li>PP RMI-PBNU, Sebagai: WASEKJEN. Tahun: 2005 - 2010</li><li>AHIMSA, Sebagai: KETUA. Tahun: 2001 - 2010</li><li>PB. KOPRI PMII, Sebagai: KETUA UMUM. Tahun: 1997 - 2000</li><li>DPP KNPI, Sebagai: WAKIL KETUA MP I. Tahun:  - </li> </ul>
",Jombang,49.0,5_s2,eksternal,dewan,"(44.0, 49.0]",5.0,PKB
21,"http://www.dpr.go.id//doksigota/photo/83_Drs._MOHAMMAD_TOHA,_S.Sos.,_M.Si..jpg",http://www.dpr.go.id//blog/profil/id/83,"Drs. MOHAMMAD TOHA, S.Sos., M.Si.",Fraksi Partai Kebangkitan Bangsa,JAWA TENGAH V,"['Panitia Khusus', 'Komisi VI', 'Badan Legislasi']",Sukoharjo  / 25 Mei 1964,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SDN Pucangan I. Tahun: 1970 - 1976</li><li>SMP , SMPN Kertasura I. Tahun: 1976 - 1980</li><li>SMA , SMAN Kertasura I. Tahun: 1980 - 1983</li><li>S1 Sastra Inggris, Univ. Sebelas Maret. Tahun: 1983 - 1989</li><li>S1 FISIP Ilmu Kom, Univ. Terbuka. Tahun: 2001 - 2004</li><li>S2 Ilmu Kom. Fisip, Univ. Sebelas Maret. Tahun: 2001 - 2003</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>11. DPR RI/MPR RI, Sebagai: Anggota. Tahun: 2014 - 2019</li><li>10. DPR RI/MPR RI, Sebagai: Anggota. Tahun: 2009 - 2014</li><li>9. Pemkab Sukoharjo, Sebagai: Wakil Bupati. Tahun: 2005 - 2009</li><li>8. Pemkab Sukoharjo, Sebagai: Wakil Bupati. Tahun: 2000 - 2005</li><li>7. DPRD Kab. Sukoharjo, Sebagai: Anggota. Tahun: 1999 - 2000</li><li>6. Univ. Veteran Sukoharjo, Sebagai: Dosen. Tahun: 1995 - 2005</li><li>5. Konjen, Kedubes Jepang, Sebagai: Interpreter. Tahun: 1992 - 1993</li><li>3. Toyota Astra Motor,Solo, Sebagai: Sales Representatif. Tahun: 1991 - 1991</li><li>4. PT. Erlangga, Jakarta, Sebagai: Editor/Penerjemah. Tahun: 1991 - 1992</li><li>2. Betania International, Semarang, Sebagai: Guru. Tahun: 1990 - 1991</li><li>1. SMA Cokroaminoto I Solo, Sebagai: Guru. Tahun: 1984 - 1990</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>11. DPP PKB, Sebagai: Wasekjen. Tahun: 2014 - 2019</li><li>9. YPPP Veteran, Sebagai: Koordinator Bidang Usaha. Tahun: 2009 - 2014</li><li>10. DPC PKB , Sukoharjo , Sebagai: Ketua Syuro. Tahun: 2009 - 2014</li><li>5. RAPI, Sebagai: Ketua Dewan Pembina. Tahun: 2005 - 2009</li><li>6. Pramuka, Sebagai: Ketua Kwarcab. Tahun: 2005 - 2009</li><li>7.HAMKRI, Sebagai: Ketua. Tahun: 2005 - 2014</li><li>8. PAMOR RRI SKA, Sebagai: Pembina. Tahun: 2005 - 2015</li><li>4. DPW PKB , Jateng , Sebagai: Wakil Ketua . Tahun: 2004 - 2009</li><li>3.Satlak PBP , Sebagai: Ketua. Tahun: 2003 - 2008</li><li>2. Badan Narkotika Kabupaten, Sebagai: Ketua. Tahun: 2000 - 2009</li><li>1. DPC PKB , Sukoharjo, Sebagai: Ketua Tanfidz. Tahun: 1998 - 2009</li> </ul>
",Sukoharjo ,56.0,5_s2,internal,dewan,"(55.0, 61.0]",5.0,PKB
22,http://www.dpr.go.id//doksigota/photo/1755.jpg,http://www.dpr.go.id//blog/profil/id/1755,"LUQMAN HAKIM, S.Ag.",Fraksi Partai Kebangkitan Bangsa,JAWA TENGAH VI,"['Komisi III', 'Panitia Khusus']",Kab. Semarang / 12 April 1975,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , MI DADAPAYAM 1. Tahun:  - </li><li>SMP , SMP ISLAM SUDIRMAN DADAPAYAM. Tahun: 1981 - 1976</li><li>SMA , . Tahun: 1987 - 1990</li><li>DIPLOMA , . Tahun: 1990 - 1993</li><li>S1 TARBIYAH/PAI, IAIN SALATIGA. Tahun: 1994 - 2001</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>FPKB MPR RI, Sebagai: TENAGA AHLI. Tahun: 2014 - 2015</li><li>WAHANA MODERN RITEL GRUP, Sebagai: KONSULTAN BISNIS. Tahun: 2005 - 2014</li><li>PIMPINAN DPRD KOTA SALATIGA, Sebagai: TENAGA AHLI. Tahun: 2004 - 2009</li><li>SERIKAT PEGUYUBAN PETANI ARYAH THAYYIBAH, Sebagai: KONSULTAN COMMUNITY ORGANIZING. Tahun: 2000 - 2017</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>PC GP ANSOR, Sebagai: KETUA BIDANG POLITIK DAN PEMERINTAHAN . Tahun: 2017 - 2020</li><li>PB PTMSI, Sebagai: SEKRETARIS JEMDERAL. Tahun: 2016 - 2018</li><li>PC GP ANSOR, Sebagai: WAKIL BENDAHARA GP ANSOR KAB SEMARANG. Tahun: 2001 - 2005</li><li>PC PMII, Sebagai: KETUA UMUM PC PMII KOTA SALATIGA. Tahun: 1997 - 1999</li><li>PC IPNU, Sebagai: SEKERTAERIS PC IPNU KAB SEMARANG. Tahun: 1995 - 1996</li> </ul>
",Kab. Semarang,45.0,4_s1,eksternal,dewan,"(44.0, 49.0]",5.0,PKB
23,http://www.dpr.go.id//doksigota/photo/64.jpg,http://www.dpr.go.id//blog/profil/id/64,"H. ABDUL KADIR KARDING, S.Pi, M.Si",Fraksi Partai Kebangkitan Bangsa,JAWA TENGAH VI,['Komisi I'],Donggala  / 25 Maret 1973,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , Ogomas I Sojol,Donggala. Tahun:  - 1986</li><li>SMP , SMPN 9 Palu, Sulteng. Tahun: 1986 - 1989</li><li>SMA , SMAN 2 Palu, Sulteng. Tahun: 1989 - 1992</li><li>S1 Fak. Perikanan, UNDIP Semarang. Tahun:  - 1997</li><li>S2 Administrasi Publik, UNDIP Semarang. Tahun:  - 2009</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>10. DPR RI, Sebagai: aNGGOTA. Tahun: 2014 - 2019</li><li>9. BALEG DPR RI, Sebagai: Wakil Ketua. Tahun: 2014 - </li><li>7. Fraksi PKB DPR RI, Sebagai: Wakil ketua. Tahun: 2009 - 2014</li><li>8. Komisi VIII DPR RI, Sebagai: Ketua Komisi. Tahun: 2009 - 2011</li><li>5. DPR RI, Sebagai: Anggota . Tahun: 2009 - 2014</li><li>6. Fraksi PKB MPR RI, Sebagai: Sekretaris. Tahun: 2009 - 2014</li><li>4. DPRD Provinsi Jawa Tengah , Sebagai: Wakil Ketua . Tahun: 2004 - 2009</li><li>3. DPRD Provinsi Jawa Tengah , Sebagai: Wakil Ketua . Tahun: 2003 - 2004</li><li>2. Fraksi (PKB) DPRD Provinsi Jawa Tengah , Sebagai: Ketua . Tahun: 2001 - 2003</li><li>1. Komisi E DPRD Provinsi Jawa Tengah , Sebagai: Ketua Komisi E. Tahun: 1999 - 2001</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>11. Peengurus DPP PKB, Sebagai: Sekjen. Tahun: 2014 - 2017</li><li>10. Tim Kampanye Capres Jokowi-JK, Sebagai: Juru Bicara Tim. Tahun: 2014 - </li><li>8. Persatuan Guru &amp; Karyawan Swasta Indonesia, Sebagai: Pembina nasional. Tahun: 2011 - skrg</li><li>7. DPP IKA UNDIP Semarang, Sebagai: Ketua. Tahun: 2009 - 2013</li><li>9. Pengurus DPP PKB, Sebagai: Ketua. Tahun: 2008 - 2014</li><li>6. Pembina PW IPNU Jawa Tengah, Sebagai: Pembina . Tahun: 2006 - 2009</li><li>5. Pengurud DPW PKB Jawa Tengah, Sebagai: Ketua. Tahun: 2005 - 2006</li><li>4. Pengurus DPW PKB Jawa Tengah , Sebagai: Wakil Ketua. Tahun: 2001 - 2005</li><li>3. Pengurus DPW PKB Jawa Tengah , Sebagai: Sekretaris. Tahun: 1998 - 2001</li><li>1. Senat Mahasiswa PT UNDIP Semarang, Sebagai: Ketua III . Tahun: 1994 - 1995</li><li>2. Pengurus Korcab PMII Jawa Tengah , Sebagai: Ketua I. Tahun:  - </li> </ul>
",Donggala ,47.0,5_s2,internal,dewan,"(44.0, 49.0]",5.0,PKB
24,http://www.dpr.go.id//doksigota/photo/1463.jpg,http://www.dpr.go.id//blog/profil/id/1463,Drs. H. TAUFIQ R. ABDULLAH,Fraksi Partai Kebangkitan Bangsa,JAWA TENGAH VII,"['Badan Legislasi', 'Panitia Khusus', 'Komisi I']",Banjarnegara / 05 April 1963,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , MIN V Rakit. Tahun:  - 1976</li><li>SMP , SMP Rakit. Tahun:  - 1980</li><li>SMA , SPG N Banjarnegara. Tahun:  - 1993</li><li>S1 , IAIN Surabaya. Tahun:  - 1989</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Anggota DPR RI 2014-2019, Sebagai: Anggota. Tahun: 2014 - 2019</li><li>PT. Berlian Visi Tama, Sebagai: Komisaris. Tahun: 2010 - Skrg</li><li>PT. Bintang Sembilan Mandiri Jakarta, Sebagai: Direktur. Tahun: 2008 - 2010</li><li>STIPI Surabaya, Sebagai: Dosen. Tahun: 1998 - 1999</li><li>PT. Asa Matra Mulia, Sebagai: Direktur Keuangan. Tahun: 1998 - 2000</li><li>Depsos RI, Sebagai: Koor. Rintisan Program Penanggulangan Kemiskinan Perkotaan Surabaya. Tahun: 1997 - 1999</li><li>Yayasan Khadijah Surabaya, Sebagai: Konsultan Manajemen. Tahun: 1993 - 1999</li><li>Fakultas Tarbiyah Universitas Taruna, Sebagai: Dosen. Tahun: 1989 - 1990</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>AKAPMI, Sebagai: Wakil Sekretaris Dewan penasihat. Tahun: 2000 - Skrg</li><li>PBNU, Sebagai: Wakil Sekjen. Tahun: 1999 - 2010</li><li>DPW PKB Jawa timur, Sebagai: Ketua Lembaga Diklat. Tahun: 1998 - 2000</li><li>PW Lakspedam Nu Jawa Timur, Sebagai: Ketua. Tahun: 1997 - 2000</li><li>PW GP Ansor Jawa Timur, Sebagai: sekretaris. Tahun: 1996 - 2000</li><li>Forum LSM JAwa Timur, Sebagai: Pengurus. Tahun: 1992 - 1993</li><li>PW GP Ansor Jawa Timur, Sebagai: Wakil Sekretaris. Tahun: 1991 - 1996</li><li>Kawula Muda Banyumasan, Sebagai: Ketua. Tahun: 1990 - 1995</li><li>PW Lakspedam Nu Jawa Timur, Sebagai: Wakil Sekertaris. Tahun: 1986 - 1990</li><li>PMII Fak. Tarbiyah IAIN Surabaya, Sebagai: Ketua Rayon. Tahun: 1985 - 1986</li> </ul>
",Banjarnegara,57.0,4_s1,internal,dewan,"(55.0, 61.0]",5.0,PKB
25,http://www.dpr.go.id//doksigota/photo/1465.jpg,http://www.dpr.go.id//blog/profil/id/1465,"SITI MUKAROMAH, S.Ag, M. AP.",Fraksi Partai Kebangkitan Bangsa,JAWA TENGAH VIII,"['Badan Anggaran', 'Panitia Khusus', 'Komisi VI']",Banyumas / 01 Februari 1972,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , MI Ma'arif Dawuhan Kulon. Tahun: 1979 - 1985</li><li>SMP , MTs Negeri Purwokerto. Tahun: 1985 - 1988</li><li>SMA IPS, SMA Diponegoro 3 Karanglewas. Tahun: 1988 - 1991</li><li>S1 Pendidikan Agama Islam, STAIN Purwokerto. Tahun: 1993 - 1999</li><li>S2 Kebijakan Publik, Unas Jakarta . Tahun: 2012 - 2016</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>DPR RI, Sebagai: Anggota. Tahun: 2019 - 2024</li><li>DPR RI, Sebagai: Anggota. Tahun: 2014 - 2019</li><li>DPR RI Jakarta, Sebagai: Staf Ahli FPKB. Tahun: 2009 - 2014</li><li>PT. WTI Jakarta, Sebagai: Investment Consultan. Tahun: 2006 - 2009</li><li>Yayasan KMPM, Jakarta, Sebagai: Ketua . Tahun: 2006 - skrg</li><li>Yayasan IRCOS Jakarta, Sebagai: Div. Pelatihan. Tahun: 2005 - 2007</li><li>PT. Goldex Jakarta, Sebagai: Investment Consultan. Tahun: 2005 - 2006</li><li>KUPP Kalisari, Sebagai: Pembina dan Pendamping. Tahun: 2002 - 2004</li><li>BMT Tijarah Al Hidayah, Sebagai: Teller. Tahun: 1997 - 1999</li><li>PT. Selaras Kausa Busana, Sebagai: Adm Quality Control. Tahun: 1991 - 1992</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>Perempuan Bangsa, Sebagai: Ketua Umum DPP. Tahun: 2019 - 2024</li><li>PC Muslimah NU, Sebagai: Anggota Bidang Kaderisasi Organisasi Muslmat NU, Banyuwangi. Tahun: 2016 - 2020</li><li>PP Fatayat NU , Sebagai: Ketua Bidang Advokasi politik, hukum dan Ham. Tahun: 2015 - 2020</li><li>KPPRI (Kaukus Perempuan Parlemen), Sebagai: Div. pengembangan Kaderisasi Politik. Tahun: 2015 - Skrg</li><li>BMOIWI (Badan Musyawarah Org. Islam Wanita indonesia), Sebagai: Div. Pengembangan Politik. Tahun: 2013 - 2015</li><li>Fatayat NU, Sebagai: Ketua PP Fatayat NU. Tahun: 2010 - 2015</li><li>Presidium Nasional Anak Bangsa Indonesia, Sebagai: Wakil Bendahara I. Tahun: 2002 - 2005</li><li>DPP HKPI, Sebagai: Ketua III DPP HKPI. Tahun: 2001 - 2006</li><li>IPPNU, Sebagai: Ketua V Pimpinan Pusat. Tahun: 2000 - 2003</li><li>BPMF STAIN Purwokerto, Sebagai: Ketua Bid. Pendidikan Kader. Tahun: 1996 - 1998</li><li>PPI (Persatuan Pemuda Indonesia), Sebagai: Bendahara. Tahun: 1996 - 1998</li><li>PMII, Sebagai: Ketua Kopri Cab. Purwokerto. Tahun: 1995 - 1997</li> </ul>
",Banyumas,48.0,5_s2,eksternal,dewan,"(44.0, 49.0]",5.0,PKB
